event_id,recording_id,audio_relative_path,label_mode,raw_class_label,class_id,onset_s,offset_s,source_start_fraction,source_end_fraction,source_event_length_s,source_row
datased:monophonic:000001,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,monophonic,Birds,birds,0.0,17.6,0.0,0.3,17.6,2
datased:monophonic:000002,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,monophonic,Lawn mower brush cutter and olive shaker,lawn_mower_brush_cutter_olive_shaker,21.17,34.83,0.36,0.59,13.66,3
datased:monophonic:000003,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,monophonic,Bells,bells,34.93,50.65,0.59,0.85,15.72,4
datased:monophonic:000004,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,monophonic,Lawn mower brush cutter and olive shaker,lawn_mower_brush_cutter_olive_shaker,53.23,58.05,0.9,0.98,4.82,5
datased:monophonic:000005,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,monophonic,Bells,bells,0.0,10.31,0.0,0.08,10.31,6
datased:monophonic:000006,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,monophonic,Bells,bells,13.16,22.52,0.11,0.18,9.36,7
datased:monophonic:000007,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,monophonic,Bells,bells,25.22,35.06,0.2,0.28,9.84,8
datased:monophonic:000008,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,monophonic,Bells,bells,35.61,123.98,0.29,1.0,88.37,9
datased:monophonic:000009,S-0003,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,monophonic,Train,train,5.52,23.71,0.06,0.25,18.19,10
datased:monophonic:000010,S-0003,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,monophonic,Voices,voices,27.88,47.82,0.29,0.5,19.93,11
datased:monophonic:000011,S-0003,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,monophonic,Vehicle pass-by,vehicle_pass_by,62.88,68.38,0.66,0.71,5.5,12
datased:monophonic:000012,S-0003,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,monophonic,Voices,voices,68.62,95.62,0.72,1.0,27.0,13
datased:monophonic:000013,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Train,train,0.0,24.49,0.0,0.23,24.49,14
datased:monophonic:000014,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Voices,voices,28.3,34.78,0.26,0.33,6.47,15
datased:monophonic:000015,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Sirens and alarms,sirens_and_alarms,46.63,51.22,0.44,0.48,4.6,16
datased:monophonic:000016,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Train,train,56.34,85.47,0.53,0.8,29.13,17
datased:monophonic:000017,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Sirens and alarms,sirens_and_alarms,87.28,90.39,0.82,0.85,3.11,18
datased:monophonic:000018,S-0004,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,monophonic,Train,train,90.58,106.96,0.85,1.0,16.38,19
datased:monophonic:000019,S-0005,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,monophonic,Train,train,59.2,128.96,0.25,0.55,69.76,20
