event_id,recording_id,audio_relative_path,label_mode,raw_class_label,class_id,onset_s,offset_s,source_start_fraction,source_end_fraction,source_event_length_s,source_row
datased:polyphonic:000001,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,polyphonic,Birds,birds,0.0,17.6,0.0,0.3,17.6,2
datased:polyphonic:000002,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,polyphonic,Lawn mower brush cutter and olive shaker,lawn_mower_brush_cutter_olive_shaker,21.17,34.83,0.36,0.59,13.66,3
datased:polyphonic:000003,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,polyphonic,Bells,bells,34.75,50.65,0.59,0.85,15.9,4
datased:polyphonic:000004,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,polyphonic,Birds,birds,49.36,59.3,0.83,1.0,9.94,5
datased:polyphonic:000005,S-0001,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,polyphonic,Lawn mower brush cutter and olive shaker,lawn_mower_brush_cutter_olive_shaker,53.23,58.05,0.9,0.98,4.82,6
datased:polyphonic:000006,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,polyphonic,Bells,bells,0.0,10.31,0.0,0.08,10.31,7
datased:polyphonic:000007,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,polyphonic,Birds,birds,0.0,13.4,0.0,0.11,13.4,8
datased:polyphonic:000008,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,polyphonic,Bells,bells,13.16,22.52,0.11,0.18,9.36,9
datased:polyphonic:000009,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,polyphonic,Bells,bells,25.22,35.06,0.2,0.28,9.84,10
datased:polyphonic:000010,S-0002,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,polyphonic,Bells,bells,35.61,123.98,0.29,1.0,88.37,11
