dataset,file_id,relative_path,bytes,sha256,sample_rate,channels,frames,duration_s,format,subtype
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,5230684,892d55dc4566f14c05b169e34c617e813c6192e1cdd0851946c6d6eb3b9850cd,44100,1,2615320,59.304308390022676,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,10935368,0f397a7e556786c2b3ec6204f6f011d4e971234fee9cc9228462486a7a680127,44100,1,5467662,123.98326530612245,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,8443800,eaefe1474212265aa3b1d2b102eb536a1918cd65ba419296f12dce7de952d6e0,44100,1,4221878,95.73419501133787,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,9434280,643de14799ebd130974e45205fc6a2c7e73e31beb7dd711b1abbdf70655d5f50,44100,1,4717118,106.96412698412698,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,20578348,535361484a3829a5126785a0febea46703d1e7ab1f1377d8b16b2f9625a4cb8d,44100,1,10289152,233.31410430839003,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,8862500,21b6ce2ae67dcef4412e03f6be1a5767e0a19feab1f317fa410f63a168e527e6,44100,1,4431228,100.4813605442177,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,1480424,0ee8ffe254e47abb6c0377bde502ebaf55fb33a75828dcd3a85c1ceaf7dbb680,44100,1,740190,16.7843537414966,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,4132598,32286c180e5b8e9053d08a61d092c50cfd307ca338ae0571e47b273181b96b95,44100,1,2066277,46.854353741496595,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,11063990,4b64fc19b3b6d4f0e8b96ff4dfafc06ec9057027c8bbc8dcea4669aa853d26d7,44100,1,5531973,125.44156462585035,WAV,PCM_16
datased,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,7431998,98270ffd35df05e009ee4455fb1e7f1e27e54de2196cf9a2fb04354aeebac740,44100,1,3715977,84.26251700680272,WAV,PCM_16
