file_id,audio_relative_path,feature_relative_path,audio_sha256,feature_sha256,mel_bins,frames,feature_config_sha256
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.npy,892d55dc4566f14c05b169e34c617e813c6192e1cdd0851946c6d6eb3b9850cd,c547cf50a5dd9dfa6786e7534c569ac036472c9e73a63e8d048644d47698d2d2,64,5931,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.npy,0f397a7e556786c2b3ec6204f6f011d4e971234fee9cc9228462486a7a680127,33cb54f8ccaed4cd51683f2eb3f88f7e9403c3b572d4dbbd7ece674d4f304da0,64,12399,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.npy,eaefe1474212265aa3b1d2b102eb536a1918cd65ba419296f12dce7de952d6e0,98dddae2a73024a0aa9827484ab196308a3977bbe89e279810ba2d0551e604e4,64,9574,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.npy,643de14799ebd130974e45205fc6a2c7e73e31beb7dd711b1abbdf70655d5f50,c328b10701b844da25181e5b3579e062eab3f3158a1f4a158e86fb8d942ab558,64,10697,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.npy,535361484a3829a5126785a0febea46703d1e7ab1f1377d8b16b2f9625a4cb8d,a59dfdbe50bb342451cdfb1d08357f711df63e52b86100724a07f6a850511f09,64,23332,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.npy,21b6ce2ae67dcef4412e03f6be1a5767e0a19feab1f317fa410f63a168e527e6,3757c6cee5dd9e14bb31109806e19d69a98d5b0f345d06b779b53220247ee125,64,10049,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.npy,0ee8ffe254e47abb6c0377bde502ebaf55fb33a75828dcd3a85c1ceaf7dbb680,5500161ff3ba9bb8e43fb6ac8a9c6d2d83509e6eea684e88d676865cd0f42943,64,1679,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.npy,32286c180e5b8e9053d08a61d092c50cfd307ca338ae0571e47b273181b96b95,8cdc1e15e6f574c66d23c7aa60c0a76a843e24ddede7351132e5c1af3c1a9ae9,64,4686,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.npy,4b64fc19b3b6d4f0e8b96ff4dfafc06ec9057027c8bbc8dcea4669aa853d26d7,51df0b9997de075c93d3d55eea026a2aea67eb1ef6c365c886e9547b399ddf78,64,12545,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.npy,98270ffd35df05e009ee4455fb1e7f1e27e54de2196cf9a2fb04354aeebac740,2506a8e0d0de54e381296980fee695116eaa8b3fe4d1db1a5b7eb31503a3ad57,64,8427,bbf5188fb61e44e59fba46cebd26aab9371508748b9185ae1d3222c9cbaabffa
