file_id,audio_relative_path,feature_relative_path,audio_sha256,feature_sha256,mel_bins,frames,feature_config_sha256
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.npy,892d55dc4566f14c05b169e34c617e813c6192e1cdd0851946c6d6eb3b9850cd,1f3ab7217518545928bc8c03a975746034d5733e102a557192e5ad5ea5112a36,64,2966,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.npy,0f397a7e556786c2b3ec6204f6f011d4e971234fee9cc9228462486a7a680127,6baf1a88cac379743105d0a08f2a811ad66a07b71d0154722b46399fea2c038b,64,6200,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.npy,eaefe1474212265aa3b1d2b102eb536a1918cd65ba419296f12dce7de952d6e0,1daf060f0092417e957d0da2c2b5850e002c084f41e4bd09db7ee2a4322c7578,64,4787,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.npy,643de14799ebd130974e45205fc6a2c7e73e31beb7dd711b1abbdf70655d5f50,f95e7eec3274a40116fd7319a6def24c863ade3c72413eccee5f26d1f19e3053,64,5349,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.npy,535361484a3829a5126785a0febea46703d1e7ab1f1377d8b16b2f9625a4cb8d,360957f66b9fec1b528ad85f8da04e310867a8d491ab749e870b64b6eed2a7dd,64,11666,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.npy,21b6ce2ae67dcef4412e03f6be1a5767e0a19feab1f317fa410f63a168e527e6,385d0cb51ced0384994e814a6e5a8baf93b4e1243582a230ef29465068966ebb,64,5025,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.npy,0ee8ffe254e47abb6c0377bde502ebaf55fb33a75828dcd3a85c1ceaf7dbb680,bc0d35525f0a2793324017a2a1384df3e3632159280308ca538bb5f3b4d53ef9,64,840,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.npy,32286c180e5b8e9053d08a61d092c50cfd307ca338ae0571e47b273181b96b95,1ec7538b4aa356201f1ec8efff563dae7bac442347a44ce5d785061d472e84d8,64,2343,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.npy,4b64fc19b3b6d4f0e8b96ff4dfafc06ec9057027c8bbc8dcea4669aa853d26d7,b492096c983ac5f917146e4fceb77beefae01a83d21b83c662381d7bd9f2fcfe,64,6273,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.npy,98270ffd35df05e009ee4455fb1e7f1e27e54de2196cf9a2fb04354aeebac740,b4601c5bdce33106950d3e4b57e0f67226808b9376f564b50d7e77b3977b11ea,64,4214,e53cd56e0e9911d829bd978c3ca766f775d83d12ffb2ff77f051561f6be1cd0c
