group_id,file_id,datasets,tiers,min_similarity,cross_dataset,needs_review
dup-0001,datasec:DATASEC/Bells/Bells-0024.wav,datasec,T3,0.959055,false,false
dup-0001,datasec:DATASEC/Bells/Bells-0025.wav,datasec,T3,0.959055,false,false
dup-0002,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0011.wav,datasec,T3,0.951757,false,false
dup-0002,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0014.wav,datasec,T3,0.951757,false,false
dup-0002,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0037.wav,datasec,T3,0.951757,false,false
dup-0003,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0023.wav,datasec,T3,0.955640,false,false
dup-0003,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0024.wav,datasec,T3,0.955640,false,false
dup-0004,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0049.wav,datasec,T3,0.957025,false,false
dup-0004,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,datasec,T3,0.957025,false,false
dup-0004,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0051.wav,datasec,T3,0.957025,false,false
dup-0004,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0052.wav,datasec,T3,0.957025,false,false
dup-0005,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec,T3,1.000000,false,false
dup-0005,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0017.wav,datasec,T3,1.000000,false,false
dup-0006,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0035.wav,datasec,T1|T2|T3,0.958379,false,false
dup-0006,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0040.wav,datasec,T1|T2|T3,0.958379,false,false
dup-0006,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0050.wav,datasec,T1|T2|T3,0.958379,false,false
dup-0007,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0003.wav,datasec,T3,1.000000,false,false
dup-0007,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0004.wav,datasec,T3,1.000000,false,false
dup-0008,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0008.wav,datasec,T3,1.000000,false,false
dup-0008,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0009.wav,datasec,T3,1.000000,false,false
dup-0009,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec,T3,0.969591,false,false
dup-0009,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0008.wav,datasec,T3,0.969591,false,false
dup-0009,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0011.wav,datasec,T3,0.969591,false,false
dup-0009,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0014.wav,datasec,T3,0.969591,false,false
dup-0010,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0021.wav,datasec,T3,0.958839,false,false
dup-0010,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0064.wav,datasec,T3,0.958839,false,false
dup-0011,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0022.wav,datasec,T3,0.967750,false,false
dup-0011,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0046.wav,datasec,T3,0.967750,false,false
