file_id,group_id,reason_code,decided_by
datasec:DATASEC/Bells/Bells-0025.wav,dup-0001,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cat fights and moans/Cat fights and moans-0014.wav,dup-0002,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cat fights and moans/Cat fights and moans-0037.wav,dup-0002,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0024.wav,dup-0003,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,dup-0004,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0051.wav,dup-0004,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0052.wav,dup-0004,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0017.wav,dup-0005,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0040.wav,dup-0006,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0050.wav,dup-0006,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0004.wav,dup-0007,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0009.wav,dup-0008,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0008.wav,dup-0009,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0011.wav,dup-0009,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0014.wav,dup-0009,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0046.wav,dup-0011,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0064.wav,dup-0010,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0066.wav,dup-0011,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0028.wav,dup-0013,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0029.wav,dup-0013,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0036.wav,dup-0014,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0047.wav,dup-0015,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0055.wav,dup-0016,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,dup-0017,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,dup-0017,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,dup-0017,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0059.wav,dup-0017,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,dup-0016,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0069.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,dup-0018,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,dup-0019,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0074.wav,dup-0019,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,dup-0019,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0076.wav,dup-0019,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0077.wav,dup-0016,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0081.wav,dup-0012,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0093.wav,dup-0020,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Glass breaking/Glass breaking-0098.wav,dup-0021,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Horn/Horn-0055.wav,dup-0022,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0009.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0010.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0011.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0012.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0013.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0014.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0015.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0016.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0017.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0018.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0019.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0020.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0021.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0022.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0023.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0024.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0025.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0026.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0027.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0028.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0029.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0030.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0031.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0032.wav,dup-0025,exclude_duplicate,rule:within_dataset_representative
