left_file_id,right_file_id,tier,similarity,overlap_s,verdict
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0052.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0054.wav,T3,0.949890,22.500,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0003.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Olive shaker/Olive shaker-0012.wav,T3,0.949770,9.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0031.wav,datasec:DATASEC/Glass breaking/Glass breaking-0032.wav,T3,0.949715,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,T3,0.949293,59.000,review
datasec:DATASEC/Bells/Bells-0061.wav,datasec:DATASEC/Bells/Bells-0063.wav,T3,0.949242,3.000,review
datasec:DATASEC/Vehicle idling/car truck idling/car truck idling-0018.wav,datasec:DATASEC/Vehicle idling/car truck idling/car truck idling-0024.wav,T3,0.949215,22.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0029.wav,T3,0.949137,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0045.wav,datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,T3,0.948573,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0025.wav,datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,T3,0.948041,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0051.wav,datasec:DATASEC/Glass breaking/Glass breaking-0052.wav,T3,0.947742,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0023.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav,T3,0.947672,26.500,review
datasec:DATASEC/Train/Train-0031.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0241.wav,T3,0.947392,8.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,datasec:DATASEC/Glass breaking/Glass breaking-0047.wav,T3,0.947063,28.000,review
datasec:DATASEC/Bells/Bells-0013.wav,datasec:DATASEC/Bells/Bells-0014.wav,T3,0.946996,12.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,T3,0.946923,23.500,review
datasec:DATASEC/Workshop/jackhammer/jackhammer-0013.wav,datasec:DATASEC/Workshop/jackhammer/jackhammer-0056.wav,T3,0.946649,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0027.wav,datasec:DATASEC/Glass breaking/Glass breaking-0028.wav,T3,0.946356,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0081.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav,T3,0.946324,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,T3,0.946287,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0052.wav,datasec:DATASEC/Glass breaking/Glass breaking-0053.wav,T3,0.946176,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0047.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,T3,0.946044,26.500,review
