left_file_id,right_file_id,tier,similarity,overlap_s,verdict
datasec:DATASEC/Train/Train-0031.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0241.wav,T3,0.947392,8.500,review
datasec:DATASEC/Train/Train-0015.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0215.wav,T3,0.937870,14.000,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0044.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0315.wav,T3,0.915241,40.500,review
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0003.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0632.wav,T3,0.913344,10.000,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0030.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0319.wav,T3,0.908990,5.000,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0047.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0309.wav,T3,0.900706,3.500,review
datasec:DATASEC/Music/Music-0087.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,T3,0.889941,3.000,review
datasec:DATASEC/Music/Music-0087.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,T3,0.889941,3.000,review
datasec:DATASEC/Music/Music-0198.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,T3,0.889461,4.000,review
datasec:DATASEC/Music/Music-0198.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,T3,0.889461,4.000,review
datasec:DATASEC/Propeller aircrafts/Helicopters/Helicopters-0050.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0594.wav,T3,0.878291,10.500,review
