pair_id,similarity,overlap_s,pretraining_file_id,benchmark_file_id,pretraining_path,benchmark_path,decision,decided_by,note
rev-001,0.947392,8.5,datasec:DATASEC/Train/Train-0031.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0241.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Train\Train-0031.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0241.wav,duplicate,patphh,vọng âm và xa giống nhau
rev-002,0.93787,14,datasec:DATASEC/Train/Train-0015.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0215.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Train\Train-0015.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0215.wav,duplicate,patphh,vọng âm và xa giống nhau
rev-003,0.915241,40.5,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0044.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0315.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Sirens and alarms\Sirens\Sirens-0044.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0315.wav,duplicate,patphh,
rev-004,0.913344,10,datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0003.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0632.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Sirens and alarms\Alarms\Alarms-0003.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0632.wav,duplicate,patphh,
rev-005,0.90899,5,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0030.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0319.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Sirens and alarms\Sirens\Sirens-0030.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0319.wav,unsure,patphh,hai audio giống nhau nhưng độ lớn khác nhau
rev-006,0.900706,3.5,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0047.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0309.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Sirens and alarms\Sirens\Sirens-0047.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0309.wav,duplicate,patphh,
rev-007,0.889941,3,datasec:DATASEC/Music/Music-0087.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0087.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-008,0.889941,3,datasec:DATASEC/Music/Music-0087.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0087.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-009,0.889461,4,datasec:DATASEC/Music/Music-0198.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0198.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-010,0.889461,4,datasec:DATASEC/Music/Music-0198.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0198.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
