left_file_id,right_file_id
datasec:DATASEC/Bells/Bells-0013.wav,datasec:DATASEC/Bells/Bells-0014.wav
datasec:DATASEC/Bells/Bells-0035.wav,datasec:DATASEC/Bells/Bells-0036.wav
datasec:DATASEC/Bells/Bells-0057.wav,datasec:DATASEC/Bells/Bells-0058.wav
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0061.wav
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0063.wav
datasec:DATASEC/Bells/Bells-0061.wav,datasec:DATASEC/Bells/Bells-0063.wav
datasec:DATASEC/Bells/Bells-0062.wav,datasec:DATASEC/Bells/Bells-0063.wav
datasec:DATASEC/Cat fights and moans/Cat fights and moans-0009.wav,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0015.wav
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0023.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0025.wav
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0024.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0025.wav
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0051.wav
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0052.wav
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0018.wav
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0009.wav
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0012.wav
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0021.wav,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0065.wav
datasec:DATASEC/Glass breaking/Glass breaking-0023.wav,datasec:DATASEC/Glass breaking/Glass breaking-0080.wav
datasec:DATASEC/Glass breaking/Glass breaking-0023.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav
datasec:DATASEC/Glass breaking/Glass breaking-0024.wav,datasec:DATASEC/Glass breaking/Glass breaking-0025.wav
datasec:DATASEC/Glass breaking/Glass breaking-0024.wav,datasec:DATASEC/Glass breaking/Glass breaking-0026.wav
datasec:DATASEC/Glass breaking/Glass breaking-0025.wav,datasec:DATASEC/Glass breaking/Glass breaking-0026.wav
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0027.wav
