recording_id,leakage_group,split
S-0001,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0001.wav,train
S-0002,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0002.wav,train
S-0003,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0003.wav,test
S-0004,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0004.wav,train
S-0005,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,train
S-0006,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,train
S-0007,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,test
S-0008,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,test
S-0009,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,validation
S-0010,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,validation
S-0011,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,test
S-0012,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,validation
S-0013,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,train
S-0014,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,train
S-0015,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,train
S-0016,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,train
S-0017,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0017.wav,test
S-0018,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0018.wav,test
S-0019,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0019.wav,test
S-0020,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0020.wav,train
S-0021,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0021.wav,validation
S-0022,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0022.wav,validation
S-0023,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0023.wav,train
S-0024,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0024.wav,validation
S-0025,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0025.wav,validation
S-0026,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0026.wav,train
S-0027,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0025.wav,validation
S-0028,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0028.wav,test
S-0029,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0029.wav,train
S-0030,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0030.wav,validation
S-0031,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0031.wav,train
S-0032,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0032.wav,validation
S-0033,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0033.wav,validation
S-0034,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0034.wav,train
S-0035,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0035.wav,train
S-0036,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0036.wav,train
S-0037,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0037.wav,train
S-0038,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0038.wav,train
S-0039,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0039.wav,validation
S-0040,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0040.wav,test
S-0041,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0041.wav,train
S-0042,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0042.wav,test
S-0043,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0043.wav,train
S-0044,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0044.wav,train
S-0045,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0045.wav,train
S-0046,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0046.wav,train
S-0047,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0047.wav,test
S-0048,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0048.wav,test
S-0049,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0049.wav,train
S-0050,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0050.wav,train
S-0051,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0051.wav,train
S-0052,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0052.wav,train
S-0053,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0053.wav,train
S-0054,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0054.wav,validation
S-0055,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0055.wav,test
S-0056,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0056.wav,train
S-0057,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0057.wav,train
S-0058,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0058.wav,train
S-0059,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0059.wav,train
S-0060,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0060.wav,validation
S-0061,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0061.wav,validation
S-0062,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0062.wav,test
S-0063,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0063.wav,train
S-0064,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0064.wav,train
S-0065,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0065.wav,validation
S-0066,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0066.wav,train
S-0067,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0067.wav,train
S-0068,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0068.wav,test
S-0069,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0069.wav,train
S-0070,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0070.wav,test
S-0071,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0071.wav,train
S-0072,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0072.wav,validation
S-0073,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0073.wav,train
S-0074,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0074.wav,validation
S-0075,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0075.wav,test
S-0076,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0072.wav,validation
S-0077,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0077.wav,test
S-0078,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0078.wav,train
S-0079,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0079.wav,train
S-0080,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0080.wav,test
S-0081,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0081.wav,validation
S-0082,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0082.wav,train
S-0083,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0083.wav,validation
S-0084,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0084.wav,train
S-0085,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0085.wav,validation
S-0086,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0086.wav,test
S-0087,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0087.wav,test
S-0088,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0088.wav,validation
S-0089,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0089.wav,train
S-0090,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0090.wav,train
S-0091,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0091.wav,train
S-0092,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0092.wav,train
S-0093,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0093.wav,train
S-0094,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0094.wav,train
S-0095,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0095.wav,train
S-0096,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0096.wav,validation
S-0097,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0097.wav,train
S-0098,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0098.wav,test
S-0099,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0099.wav,test
S-0100,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0100.wav,train
S-0101,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0101.wav,test
S-0102,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0102.wav,train
S-0103,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0103.wav,test
S-0104,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0104.wav,train
S-0105,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0105.wav,test
S-0106,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0106.wav,train
S-0107,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0107.wav,train
S-0108,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0108.wav,train
S-0109,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0109.wav,train
S-0110,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0110.wav,test
S-0111,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0111.wav,validation
S-0112,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0112.wav,validation
S-0113,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0113.wav,train
S-0114,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0114.wav,train
S-0115,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0115.wav,train
S-0116,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0116.wav,validation
S-0117,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0117.wav,train
S-0118,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0118.wav,train
S-0119,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0119.wav,train
S-0120,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0120.wav,train
S-0121,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0121.wav,train
S-0122,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0122.wav,test
S-0123,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0123.wav,test
S-0124,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0120.wav,train
S-0125,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0122.wav,test
